accident_number,date,time,year,street1,street2,road_class,district,latitude,longitude,x,y,accident_location,traffctl,visibility,light,road_surface_condition,hood_158,neighbourhood_new,hood_140,neighbourhood_old,accident_class,pedestrian,cyclist,automobile,motorcycle,truck,trsn_city_veh,emerg_veh,passenger,speeding,aggressive_driving,redlight,alcohol,disability,impact_type,involvement_type,initial_direction,vehicle_type,manoeuver,driver_action,driver_condition,pedestrian_action,pedestrian_condition,cyclist_type,cyclist_action,cyclist_condition,injury,involvement_age,injury_severity_score
1176798.0,2010-07-03 08:00:00,2100,2010,KIPLING AVE,THE QUEENSWAY,Major Arterial,Etobicoke York,43.620945,-79.52669,618871.6737,4830826.9862,At Intersection,Traffic Signal,Clear,Dark,Dry,159,Etobicoke City Centre,14,Islington-City Centre West (14),Non-Fatal Injury,0,0,1,0,0,0,0,0,0,0,0,0,0,Turning Movement,"['Vehicle Owner', 'Driver']",North,"['Other', 'Automobile, Station Wagon']","['Turning Left', 'Going Ahead']","['Improper Turn', 'Driving Properly']",['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['unknown', '50 to 54', '45 to 49']",3.0
1176855.0,2010-05-24 08:00:00,2326,2010,LAKE SHORE BLVD W,NEWFOUNDLAND RD,Major Arterial,Toronto and East York,43.632445,-79.41079,628198.5232,4832276.6621,At Intersection,Traffic Signal,Clear,Dark,Dry,163,Fort York-Liberty Village,82,Niagara (82),Non-Fatal Injury,0,0,1,0,0,0,0,1,0,0,0,0,0,SMV Other,"['Passenger', 'Vehicle Owner', 'Driver']",West,"['Other', 'Automobile, Station Wagon']",['Going Ahead'],['Lost control'],['Inattentive'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['25 to 29', 'unknown']",3.0
1176916.0,2010-07-13 08:00:00,2035,2010,KIPLING AVE,BELFIELD RD,Major Arterial,Etobicoke York,43.704845,-79.56349,615741.1695,4840093.1367,At Intersection,Traffic Signal,Clear,Dark,Dry,1,West Humber-Clairville,1,West Humber-Clairville (1),Fatal,0,0,1,0,1,0,0,0,0,1,1,0,0,Angle,"['Truck Driver', 'Vehicle Owner', 'Driver', 'Other Property Owner']",South,"['Truck - Open', 'Other', 'Automobile, Station Wagon']",['Going Ahead'],"['Driving Properly', 'Disobeyed Traffic Control']","['Normal', 'Unknown']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['40 to 44', 'unknown', '65 to 69']",4.0
1177187.0,2010-05-25 08:00:00,1050,2010,NOBLE ST,BROCK AVE,Collector,Toronto and East York,43.642345,-79.43269,626411.1133,4833342.5953,At Intersection,No Control,Clear,Daylight,Dry,86,Roncesvalles,86,Roncesvalles (86),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,1,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",South,"['Automobile, Station Wagon', 'Other']",['Turning Left'],['Failed to Yield Right of Way'],['Inattentive'],['Crossing with right of way'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['35 to 39', '40 to 44']",3.0
1177202.0,2010-05-25 08:00:00,1030,2010,BATHURST ST,EGLINTON AVE W,Major Arterial,North York,43.700945,-79.42559,626860.244,4839861.748,At Intersection,Traffic Signal,Clear,Daylight,Dry,106,Humewood-Cedarvale,106,Humewood-Cedarvale (106),Non-Fatal Injury,0,0,1,0,0,0,0,1,0,0,0,0,0,Turning Movement,"['Passenger', 'Vehicle Owner', 'Driver']",North,"['Other', 'Automobile, Station Wagon']","['Going Ahead', 'Turning Left']","['Driving Properly', 'Improper Turn']","['Normal', 'Inattentive']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['10 to 14', 'unknown', '35 to 39', '5 to 9', '40 to 44']",3.0
1177384.0,2010-07-15 08:00:00,2018,2010,CALEDONIA PARK RD,DAVENPORT RD,Minor Arterial,Toronto and East York,43.671045,-79.45109,624867.5497,4836502.2448,At Intersection,Traffic Controller,Clear,Dusk,Dry,171,Junction-Wallace Emerson,93,Dovercourt-Wallace Emerson-Junction (93),Non-Fatal Injury,0,1,0,0,0,0,0,0,0,0,0,0,0,Cyclist Collisions,['Cyclist'],South,['Bicycle'],['Turning Left'],[],[],['Not Applicable'],['Not Applicable'],"['Cyclist loses control and strikes object (pole, ttc track)']",['Lost control'],['Normal'],False,['40 to 44'],3.0
1177531.0,2010-07-16 08:00:00,1647,2010,JANE ST,DUNDAS ST W,Major Arterial,Toronto and East York,43.665745,-79.49119,621645.5091,4835854.0309,At Intersection,Traffic Signal,Clear,Daylight,Dry,89,Runnymede-Bloor West Village,89,Runnymede-Bloor West Village (89),Fatal,0,0,1,0,0,1,0,1,0,1,0,0,0,Turning Movement,"['Driver', 'Passenger', 'Vehicle Owner']",South,"['Automobile, Station Wagon', 'Other', 'Municipal Transit Bus (TTC)']","['Turning Left', 'Stopped', 'Going Ahead']","['Improper Turn', 'Driving Properly']","['Unknown', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['75 to 79', '85 to 89', '90 to 94', '25 to 29', 'unknown', '45 to 49']",4.0
1177549.0,2010-06-25 08:00:00,1730,2010,OTONABEE AVE,YONGE ST,Major Arterial,North York,43.794645,-79.41919,627177.3437,4850278.3299,At Intersection,Stop Sign,Clear,Daylight,Dry,50,Newtonbrook East,50,Newtonbrook East (50),Non-Fatal Injury,0,1,1,0,0,0,0,0,0,1,0,0,0,Cyclist Collisions,"['Driver', 'Cyclist']",South,"['Automobile, Station Wagon', 'Bicycle']",['Going Ahead'],['Disobeyed Traffic Control'],['Unknown'],['Not Applicable'],['Not Applicable'],"['Motorist without ROW drives into path of cyclist at inter, lnwy, dwy-Driver not turn.']",['Speed too Fast For Condition'],['Unknown'],False,"['unknown', '50 to 54']",3.0
1177627.0,2010-07-18 08:00:00,110,2010,GREENCEDAR CRCT,DAPHNE RD,Collector,Scarborough,43.756845,-79.22939,642536.847,4846389.2059,At Intersection,No Control,Clear,Dark,Dry,141,Golfdale-Cedarbrae-Woburn,137,Woburn (137),Fatal,0,0,1,0,0,0,0,1,0,0,0,0,0,SMV Other,"['Vehicle Owner', 'Passenger', 'Driver', 'Other Property Owner']",East,"['Other', 'Automobile, Station Wagon']",['Going Ahead'],['Lost control'],['Unknown'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['unknown', '15 to 19']",4.0
1177697.0,2010-07-19 08:00:00,219,2010,LAWRENCE AVE E,CARNFORTH RD,Major Arterial,North York,43.741645,-79.31269,635865.3814,4844561.0249,Unknown,No Control,Rain,Dark,Wet,149,Parkwoods-O'Connor Hills,45,Parkwoods-Donalda (45),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",East,"['Automobile, Station Wagon', 'Other']",['Going Ahead'],['Driving Properly'],['Normal'],"['Crossing, no Traffic Control']",['Had Been Drinking'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['20 to 24', '25 to 29']",3.0
1178114.0,2010-05-18 08:00:00,1318,2010,AVENUE RD,ELGIN AVE,Major Arterial,Toronto and East York,43.672473,-79.395664,629332.7712,4836745.7675,Unknown,No Control,Clear,Daylight,Dry,95,Annex,95,Annex (95),Non-Fatal Injury,0,1,1,0,0,1,0,0,0,0,0,0,0,Cyclist Collisions,"['Driver', 'Vehicle Owner', 'Cyclist']",South,"['Automobile, Station Wagon', 'Other', 'Municipal Transit Bus (TTC)', 'Bicycle']","['Parked', 'Going Ahead', 'Overtaking']","['Other', 'Driving Properly']","['Inattentive', 'Normal']",['Not Applicable'],['Not Applicable'],['Cyclist struck opened vehicle door'],['Driving Properly'],['Normal'],False,"['50 to 54', 'unknown', '15 to 19']",3.0
117822.0,2020-01-17 10:00:00,1915,2020,MALLINGHAM CRT,BAYVIEW AVE,Major Arterial,North York,43.767485,-79.388225,629727.2524,4847309.8388,At Intersection,Stop Sign,Clear,Daylight,Dry,52,Bayview Village,52,Bayview Village (52),Non-Fatal Injury,0,0,1,0,0,0,0,1,0,1,0,0,0,Rear End,"['Driver', 'Passenger']",South,"['Automobile, Station Wagon']","['Going Ahead', 'Slowing or Stopping', 'Stopped']","['Following too Close', 'Driving Properly']",['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['60 to 64', '30 to 34', '40 to 44', '25 to 29']",3.0
1178296.0,2010-05-28 08:00:00,1508,2010,QUEENS QUAY W,LOWER SIMCOE ST,Minor Arterial,Toronto and East York,43.639245,-79.38389,630353.8136,4833073.7841,Unknown,No Control,Clear,Daylight,Dry,165,Harbourfront-CityPlace,77,Waterfront Communities-The Island (77),Non-Fatal Injury,0,0,1,0,0,1,0,1,0,0,0,0,0,Turning Movement,"['Passenger', 'Driver', 'Vehicle Owner']",West,"['Other', 'Automobile, Station Wagon', 'Municipal Transit Bus (TTC)']","['Turning Left', 'Going Ahead']","['Improper Turn', 'Driving Properly']","['Inattentive', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['40 to 44', '45 to 49', 'unknown']",3.0
1178593.0,2010-05-31 08:00:00,1541,2010,BLOOR ST W,ROYAL YORK RD,Major Arterial,Etobicoke York,43.647345,-79.51139,620053.5619,4833781.0536,At Intersection,Traffic Signal,Clear,Daylight,Dry,16,Stonegate-Queensway,16,Stonegate-Queensway (16),Non-Fatal Injury,0,0,1,0,0,0,0,0,0,0,0,0,0,Rear End,"['Vehicle Owner', 'Driver']",East,"['Other', 'Automobile, Station Wagon']",['Going Ahead'],"['Driving Properly', 'Lost control']",['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['unknown', '40 to 44', '35 to 39']",3.0
1178852.0,2010-06-01 08:00:00,143,2010,DIXON RD,MARTIN GROVE RD,Major Arterial,Etobicoke York,43.691545,-79.57079,615178.4575,4838605.8266,At Intersection,Traffic Signal,Rain,Dark,Wet,1,West Humber-Clairville,1,West Humber-Clairville (1),Non-Fatal Injury,0,0,1,0,0,0,0,0,0,1,1,0,0,Angle,"['Vehicle Owner', 'Driver']",East,"['Other', 'Automobile, Station Wagon']",['Going Ahead'],"['Driving Properly', 'Disobeyed Traffic Control']","['Normal', 'Unknown']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['unknown', '20 to 24', '60 to 64']",3.0
1178905.0,2010-07-24 08:00:00,1329,2010,WESTON RD,JANE ST,Major Arterial,Etobicoke York,43.691245,-79.50089,620812.2683,4838671.9687,Unknown,Traffic Signal,Rain,Daylight,Wet,115,Mount Dennis,115,Mount Dennis (115),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",North,"['Automobile, Station Wagon', 'Other']",['Going Ahead'],['Driving Properly'],['Normal'],['Running onto Roadway'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['25 to 29', '10 to 14']",3.0
1179068.0,2010-07-06 08:00:00,1530,2010,EGLINTON Aven E,RAWLINSON Aven,Major Arterial,North York,43.708845,-79.38789,629880.9411,4840797.5311,At Intersection,Stop Sign,Clear,Daylight,Dry,99,Mount Pleasant East,99,Mount Pleasant East (99),Non-Fatal Injury,0,1,1,0,0,0,0,0,0,1,0,0,0,Cyclist Collisions,"['Driver', 'Cyclist']",East,"['Automobile, Station Wagon', 'Bicycle']","['Turning Left', 'Slowing or Stopping']",['Failed to Yield Right of Way'],['Normal'],['Not Applicable'],['Not Applicable'],['Motorist turned left across cyclists path.'],['Driving Properly'],['Normal'],False,"['unknown', '30 to 34']",3.0
1179238.0,2010-05-30 08:00:00,1410,2010,CALEDONIA RD,KITCHENER AVE,Minor Arterial,Toronto and East York,43.688945,-79.46049,624072.8479,4838476.174,At Intersection,Traffic Signal,Clear,Daylight,Dry,109,Caledonia-Fairbank,109,Caledonia-Fairbank (109),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,1,0,0,0,Pedestrian Collisions,"['Pedestrian', 'Driver']",East,"['Other', 'Automobile, Station Wagon']",['Turning Left'],['Failed to Yield Right of Way'],['Normal'],['Crossing with right of way'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['15 to 19', '50 to 54']",3.0
1179395.0,2010-06-02 08:00:00,1115,2010,MARKHAM RD,STEELES AVE E,Major Arterial,Scarborough,43.836545,-79.25119,640594.8393,4855203.8827,At Intersection,Traffic Signal,Clear,Daylight,Dry,130,Milliken,130,Milliken (130),Non-Fatal Injury,0,0,1,0,0,0,0,0,0,1,0,0,0,Angle,"['Vehicle Owner', 'Driver']",East,"['Other', 'Automobile, Station Wagon']",['Going Ahead'],"['Failed to Yield Right of Way', 'Driving Properly']",['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['unknown', '40 to 44', '35 to 39']",3.0
1179647.0,2010-06-01 08:00:00,1750,2010,AVENUE RD,HILLHURST BLVD,Major Arterial,North York,43.712045,-79.41169,627956.6465,4841115.9216,At Intersection,Traffic Signal,Clear,Daylight,Dry,103,Lawrence Park South,103,Lawrence Park South (103),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,1,0,0,0,Pedestrian Collisions,"['Vehicle Owner', 'Driver', 'Pedestrian']",South,"['Other', 'Automobile, Station Wagon']","['Going Ahead', 'Turning Right']","['Following too Close', 'Driving Properly']",['Normal'],['Crossing with right of way'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['unknown', '15 to 19', '35 to 39', '40 to 44']",3.0
1179667.0,2010-06-01 08:00:00,1239,2010,KENNEDY RD,SHEPPARD AVE E,Major Arterial,Scarborough,43.784645,-79.28899,637675.0957,4849375.9777,Unknown,No Control,Clear,Daylight,Dry,118,Tam O'Shanter-Sullivan,118,Tam O'Shanter-Sullivan (118),Non-Fatal Injury,0,0,1,0,0,0,0,1,1,1,0,0,0,Rear End,"['Driver', 'Passenger']",North,"['Pick Up Truck', 'Other', 'Automobile, Station Wagon']","['Going Ahead', 'Stopped']","['Speed too Fast For Condition', 'Driving Properly']",['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['45 to 49', '75 to 79', '55 to 59', '20 to 24', '50 to 54']",3.0
1179891.0,2010-07-29 08:00:00,1149,2010,YONGE ST,YORK MILLS RD,Major Arterial,North York,43.744145,-79.40669,628290.9096,4844688.8209,Unknown,Traffic Signal,Clear,Daylight,Dry,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40),Fatal,0,0,1,0,0,0,0,0,0,1,1,0,0,Angle,"['Vehicle Owner', 'Driver']",East,"['Other', 'Automobile, Station Wagon']",['Going Ahead'],"['Driving Properly', 'Disobeyed Traffic Control']",['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['unknown', '75 to 79', '45 to 49', '85 to 89']",4.0
1179966.0,2010-06-03 08:00:00,1302,2010,MILVERTON BLVD,LINNSMORE CRES,Local,Toronto and East York,43.685345,-79.33049,634558.0224,4838279.0619,Unknown,No Control,Clear,Daylight,Dry,66,Danforth,66,Danforth (66),Non-Fatal Injury,0,1,1,0,0,0,0,0,0,0,0,0,0,Cyclist Collisions,"['Driver', 'Cyclist']",West,"['Automobile, Station Wagon', 'Bicycle']","['Parked', 'Going Ahead']",['Other'],['Inattentive'],['Not Applicable'],['Not Applicable'],['Cyclist struck opened vehicle door'],['Driving Properly'],['Normal'],False,"['35 to 39', '20 to 24']",3.0
1180034.0,2010-07-16 08:00:00,1011,2010,SPADINA AVE,ST ANDREW ST,Major Arterial,Toronto and East York,43.654345,-79.398593,629135.511,4834727.8493,Unknown,Traffic Signal,Clear,Daylight,Dry,78,Kensington-Chinatown,78,Kensington-Chinatown (78),Non-Fatal Injury,1,0,0,0,0,1,0,0,0,0,0,0,0,Pedestrian Collisions,"['Pedestrian', 'Vehicle Owner', 'Driver']",South,"['Other', 'Municipal Transit Bus (TTC)']",['Going Ahead'],['Driving Properly'],['Normal'],['Crossing without right of way'],['Had Been Drinking'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['50 to 54', 'unknown', '40 to 44']",3.0
1180091.0,2020-06-26 08:00:00,2213,2020,DANFORTH AVE,GREENWOOD AVE,Major Arterial,North York,43.681163,-79.333301,634340.7952,4837810.0358,Non Intersection,No Control,Clear,Dark,Dry,69,Blake-Jones,69,Blake-Jones (69),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Driver', 'Pedestrian']",East,"['Automobile, Station Wagon']",['Going Ahead'],['Driving Properly'],['Normal'],"['Crossing, no Traffic Control']",['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['45 to 49', '70 to 74']",3.0
1180110.0,2010-07-31 08:00:00,700,2010,GRANTBROOK ST,CHARLTON BLVD,Collector,North York,43.781245,-79.43289,626103.3344,4848769.0929,At Intersection,Stop Sign,Clear,Daylight,Dry,36,Newtonbrook West,36,Newtonbrook West (36),Fatal,0,0,1,0,0,0,0,1,1,1,0,1,0,Angle,"['Other', 'Passenger', 'Driver']",North,"['Other', 'Automobile, Station Wagon']","['Parked', 'Going Ahead']","['Driving Properly', 'Disobeyed Traffic Control']","['Normal', 'Ability Impaired, Alcohol Over .08']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],True,"['unknown', '60 to 64', '25 to 29']",4.0
1180385.0,2010-06-06 08:00:00,45,2010,1492 LAKE SHORE BLVD W,Not Applicable,Major Arterial,Toronto and East York,43.637945,-79.45739,624428.0023,4832816.5959,Unknown,No Control,Rain,Dark,Wet,85,South Parkdale,85,South Parkdale (85),Non-Fatal Injury,0,0,1,0,0,0,0,1,0,0,0,0,0,SMV Other,"['Passenger', 'Driver', 'Other Property Owner']",East,"['Other', 'Automobile, Station Wagon']",['Going Ahead'],['Lost control'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['15 to 19', '40 to 44', 'unknown']",3.0
1180878.0,2010-06-08 08:00:00,908,2010,DUNDAS ST E,SACKVILLE ST,Major Arterial,Toronto and East York,43.660145,-79.36299,631993.8154,4835428.0402,Unknown,No Control,Clear,Daylight,Dry,72,Regent Park,72,Regent Park (72),Non-Fatal Injury,0,1,1,0,0,0,0,0,0,1,0,0,0,Cyclist Collisions,"['Driver', 'Cyclist']",West,"['Automobile, Station Wagon', 'Bicycle']","['Overtaking', 'Going Ahead']",['Improper Passing'],['Normal'],['Not Applicable'],['Not Applicable'],['Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.'],['Driving Properly'],['Normal'],False,"['35 to 39', '40 to 44']",3.0
1180994.0,2010-06-10 08:00:00,1659,2010,QUEEN ST W,CAMERON ST,Major Arterial,Toronto and East York,43.648445,-79.39759,629229.0459,4834074.1384,Unknown,No Control,Clear,Daylight,Dry,164,Wellington Place,77,Waterfront Communities-The Island (77),Non-Fatal Injury,0,0,1,1,0,0,0,0,0,0,0,0,0,Turning Movement,"['Motorcycle Driver', 'Driver']",West,"['Motorcycle', 'Automobile, Station Wagon']","['Going Ahead', 'Making U Turn']","['Driving Properly', 'Improper Turn']",['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['25 to 29', '20 to 24']",3.0
1181097.0,2010-08-06 08:00:00,1931,2010,RICHMOND ST W,SIMCOE ST,Major Arterial,Toronto and East York,43.649845,-79.38709,630072.8228,4834246.0312,At Intersection,No Control,Clear,Daylight,Dry,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),Non-Fatal Injury,1,0,0,1,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Motorcycle Driver', 'Pedestrian']",South,"['Motorcycle', 'Other']",['Going Ahead'],['Driving Properly'],['Normal'],"['Crossing, no Traffic Control']",['Inattentive'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['45 to 49', '35 to 39']",3.0
1181100.0,2010-08-06 08:00:00,845,2010,WARDEN AVE,BRIDLETOWNE CRCL,Major Arterial,Scarborough,43.801445,-79.31869,635247.3793,4851192.916,At Intersection,Traffic Signal,Clear,Daylight,Dry,148,East L'Amoreaux,117,L'Amoreaux (117),Non-Fatal Injury,1,0,0,0,1,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Vehicle Owner', 'Truck Driver', 'Pedestrian']",North,"['Other', 'Truck - Open']",['Going Ahead'],['Driving Properly'],['Normal'],['Crossing without right of way'],['Inattentive'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['unknown', '55 to 59', '25 to 29']",3.0
1181132.0,2010-06-13 08:00:00,2145,2010,124 ELLESMERE RD,Not Applicable,Major Arterial,Scarborough,43.759145,-79.30949,636083.3863,4846509.9171,Unknown,No Control,Clear,Dark,Dry,119,Wexford/Maryvale,119,Wexford/Maryvale (119),Non-Fatal Injury,0,0,1,0,0,0,0,0,0,0,0,0,0,Turning Movement,['Driver'],South,"['Automobile, Station Wagon']","['Turning Left', 'Going Ahead']","['Improper Turn', 'Driving Properly']","['Unknown', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['55 to 59', '25 to 29']",3.0
1181194.0,2010-06-14 08:00:00,1156,2010,SCARBOROUGH GOLF CLUB RD,LAWRENCE AVE E,Major Arterial,Scarborough,43.761845,-79.21579,643619.7172,4846968.0301,At Intersection,Traffic Signal,Clear,Daylight,Dry,141,Golfdale-Cedarbrae-Woburn,137,Woburn (137),Non-Fatal Injury,0,0,1,0,0,0,0,0,0,1,1,0,0,Angle,"['Vehicle Owner', 'Driver']",East,"['Other', 'Automobile, Station Wagon']",['Going Ahead'],"['Disobeyed Traffic Control', 'Driving Properly']",['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['unknown', '70 to 74', '40 to 44']",3.0
1181330.0,2010-06-10 08:00:00,1548,2010,MILNER AVE,MORNINGSIDE AVE,Major Arterial,Scarborough,43.800245,-79.19909,644871.2146,4851262.0606,At Intersection,Traffic Signal,Clear,Daylight,Dry,146,Malvern East,132,Malvern (132),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Vehicle Owner', 'Driver', 'Pedestrian']",East,"['Other', 'Automobile, Station Wagon']",['Going Ahead'],['Driving Properly'],['Normal'],['Crossing without right of way'],['Normal'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['unknown', '30 to 34']",3.0
1181388.0,2010-06-16 08:00:00,1722,2010,ELM RIDGE DR,NEWGATE RD,Collector,North York,43.703145,-79.43699,625937.0584,4840088.7083,Unknown,No Control,Clear,Daylight,Dry,102,Forest Hill North,102,Forest Hill North (102),Non-Fatal Injury,1,0,1,0,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Vehicle Owner', 'Driver', 'Pedestrian']",East,"['Other', 'Automobile, Station Wagon']",['Going Ahead'],['Driving Properly'],['Normal'],['Running onto Roadway'],['Inattentive'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['unknown', '60 to 64', '35 to 39']",3.0
1181546.0,2010-06-18 08:00:00,1700,2010,26 ALABASTER RD,Not Applicable,Local,Etobicoke York,43.756345,-79.59959,612735.8736,4845763.1711,Unknown,No Control,Clear,Daylight,Dry,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),Non-Fatal Injury,1,0,0,0,0,0,0,0,0,0,0,0,0,Pedestrian Collisions,"['Other', 'Pedestrian']",Unknown,['Other'],['Parked'],[],[],['Person Getting on/off Vehicle'],['Unknown'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['unknown', '30 to 34']",3.0
1181613.0,2010-06-19 08:00:00,1600,2010,COLLEGE ST,BAY ST,Major Arterial,Toronto and East York,43.661045,-79.38479,630234.0942,4835493.5467,Unknown,No Control,Clear,Daylight,Dry,169,Bay-Cloverhill,76,Bay Street Corridor (76),Non-Fatal Injury,0,1,1,0,0,0,0,0,0,0,0,0,0,Cyclist Collisions,"['Driver', 'Cyclist']",East,"['Automobile, Station Wagon', 'Bicycle']","['Stopped', 'Going Ahead']",['Other'],['Normal'],['Not Applicable'],['Not Applicable'],['Cyclist struck opened vehicle door'],['Driving Properly'],['Normal'],False,"['50 to 54', '30 to 34']",3.0
1181618.0,2010-06-17 08:00:00,1927,2010,350 MIDWEST RD,Not Applicable,Collector,Scarborough,43.761745,-79.27159,639128.2839,4846861.6623,Unknown,No Control,Clear,Dark,Dry,126,Dorset Park,126,Dorset Park (126),Non-Fatal Injury,0,0,0,1,1,0,0,0,0,1,0,0,0,Turning Movement,"['Motorcycle Driver', 'Vehicle Owner', 'Truck Driver']",South,"['Motorcycle', 'Other', 'Truck - Open']","['Going Ahead', 'Turning Right']","['Improper Passing', 'Driving Properly']","['Inattentive', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['35 to 39', 'unknown', '25 to 29']",3.0
1181809.0,2010-06-19 08:00:00,1932,2010,WARDEN AVE,HYMUS RD,Major Arterial,Scarborough,43.719545,-79.28419,638211.1077,4842153.6284,At Intersection,Stop Sign,Clear,Daylight,Dry,120,Clairlea-Birchmount,120,Clairlea-Birchmount (120),Non-Fatal Injury,0,0,1,1,0,0,0,0,0,1,0,1,0,Turning Movement,"['Motorcycle Driver', 'Driver']",East,"['Motorcycle', 'Automobile, Station Wagon']","['Going Ahead', 'Turning Left']","['Driving Properly', 'Failed to Yield Right of Way']","['Normal', 'Ability Impaired, Alcohol']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['30 to 34', '25 to 29']",3.0
1182235.0,2010-06-24 08:00:00,2345,2010,LAWRENCE Ave W,PINE St,Major Arterial,Etobicoke York,43.701945,-79.50829,620194.5231,4839849.5952,Unknown,Traffic Signal,Clear,Dark,Dry,113,Weston,113,Weston (113),Non-Fatal Injury,0,0,1,0,0,0,0,1,0,0,0,0,0,Turning Movement,"['Vehicle Owner', 'Driver', 'Passenger']",East,"['Other', 'Automobile, Station Wagon']","['Turning Left', 'Going Ahead']","['Improper Turn', 'Driving Properly']","['Inattentive', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['unknown', '25 to 29', '60 to 64', '65 to 69']",3.0
1182348.0,2010-06-22 08:00:00,2126,2010,36 MILVAN DR,PENN Driv,Collector,Etobicoke York,43.753045,-79.55369,616437.3422,4845460.1552,Unknown,No Control,Clear,Dark,Dry,21,Humber Summit,21,Humber Summit (21),Non-Fatal Injury,0,0,1,0,0,0,0,1,0,1,0,0,0,Turning Movement,"['Passenger', 'Driver']",East,"['Other', 'Automobile, Station Wagon']","['Turning Right', 'Going Ahead']","['Failed to Yield Right of Way', 'Driving Properly']","['Inattentive', 'Normal']",['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],['Not Applicable'],False,"['20 to 24', '45 to 49']",3.0
